phone_name,review_url,image_url,image_alt
Samsung Galaxy S25+ review,https://www.gsmarena.com/samsung_galaxy_s25_plus-review-2795.php,https://fdn.gsmarena.com/imgroot/reviews/25/samsung-galaxy-s25-plus/-347x151/gsmarena_001.jpg,
Asus Zenfone 12 Ultra review,https://www.gsmarena.com/asus_zenfone_12_ultra-review-2796.php,https://fdn.gsmarena.com/imgroot/reviews/25/asus-zenfone-12-ultra/-347x151/gsmarena_001.jpg,
Samsung Galaxy S25 review,https://www.gsmarena.com/samsung_galaxy_s25-review-2794.php,https://fdn.gsmarena.com/imgroot/reviews/25/samsung-galaxy-s25/-347x151/gsmarena_002.jpg,
Samsung Galaxy S25 Ultra review,https://www.gsmarena.com/samsung_galaxy_s25_ultra-review-2793.php,https://fdn.gsmarena.com/imgroot/reviews/25/samsung-galaxy-s25-ultra/-347x151/gsmarena_002.jpg,
Realme 14 Pro+ review,https://www.gsmarena.com/realme_14_pro_plus-review-2791.php,https://fdn.gsmarena.com/imgroot/reviews/25/realme-14-pro-plus/-347x151/gsmarena_001.jpg,
Xiaomi Pad 7 hands-on review,https://www.gsmarena.com/xiaomi_pad_7_handson-review-2792.php,https://fdn.gsmarena.com/imgroot/reviews/25/xiaomi-pad-7/-347x151/gsmarena_001.jpg,
vivo X200 review,https://www.gsmarena.com/vivo_x200-review-2790.php,https://fdn.gsmarena.com/imgroot/reviews/25/vivo-x200/-347x151/gsmarena_002.jpg,
"Samsung Galaxy S25 Ultra, S25+ and S25 hands-on review",https://www.gsmarena.com/samsung_galaxy_s25_ultra_s25_plus_s25_handson-review-2789.php,https://fdn.gsmarena.com/imgroot/reviews/25/samsung-galaxy-s25-series-handson/-347x151/gsmarena_0000.jpg,
Xiaomi Redmi Note 14 Pro 4G review,https://www.gsmarena.com/xiaomi_redmi_note_14_pro_4g-review-2787.php,https://fdn.gsmarena.com/imgroot/reviews/25/xiaomi-redmi-note-14-pro-4g/-347x151/gsmarena_001.jpg,
Xiaomi Redmi Note 14 Pro+ (Global) review,https://www.gsmarena.com/xiaomi_redmi_note_14_pro_plus-review-2788.php,https://fdn.gsmarena.com/imgroot/reviews/25/xiaomi-redmi-note-14-pro-plus/-347x151/gsmarena_002.jpg,
Honor Magic7 Pro review,https://www.gsmarena.com/honor_magic7_pro-review-2786.php,https://fdn.gsmarena.com/imgroot/reviews/25/honor-magic7-pro/-347x151/gsmarena_001.jpg,
Poco X7 Pro review,https://www.gsmarena.com/poco_x7_pro-review-2785.php,https://fdn.gsmarena.com/imgroot/reviews/25/poco-x7-pro/-347x151/gsmarena_001.jpg,
OnePlus 13R review,https://www.gsmarena.com/oneplus_13r-review-2778.php,https://fdn.gsmarena.com/imgroot/reviews/25/oneplus-13r/-347x151/gsmarena_000.jpg,
Xiaomi Redmi Note 14 Pro 5G (Global) review,https://www.gsmarena.com/xiaomi_redmi_note_14_pro_5g-review-2784.php,https://fdn.gsmarena.com/imgroot/reviews/25/xiaomi-redmi-note-14-pro-5g/-347x151/gsmarena_001.jpg,
Poco X7 (Global) review,https://www.gsmarena.com/poco_x7-review-2783.php,https://fdn.gsmarena.com/imgroot/reviews/25/poco-x7/-347x151/gsmarena_003.jpg,
vivo X200 Pro (Global) review,https://www.gsmarena.com/vivo_x200_pro-review-2759.php,https://fdn.gsmarena.com/imgroot/reviews/24/vivo-x200-pro/-347x151/gsmarena_102.jpg,
OnePlus 13 review,https://www.gsmarena.com/oneplus_13-review-2777.php,https://fdn.gsmarena.com/imgroot/reviews/25/oneplus-13/rev07/-347x151/gsmarena_001.jpg,
